title,description,price,signature
Fondue Savoyarde,"Comme au refuge, avec pain croustillant, salade verte et pommes de terre vapeur",,
Tartiflette Savoyarde,Recette traditonnelle,25.0,
Couscous Royal traditionnel,"Poulet, Agneau, Merguez, Kefta",30.0,
Tajine de volaille recette de la Villa des Orangers,"Poulet, épices et herbes fraiches",25.0,Maison Millésime Marrakech
Lasagnes d'Apicius,"Légumes du potager, béchamel, comté AOP",25.0,
Côte de boeuf de nos régions,"Viande maturée, frites, salade verte et sauce béarnaise",40.0,Barbecue
Cassoulet authentique de la ville rose,Un vrai toulousain à Bordeaux,25.0,
Véritable Chili con carne,"Viande hachée française, épices mexicaines",25.0,
Osso bucco à la milanaise,Avec son os à moelle,25.0,
Paëlla royale d'Albufera,"Terre et mer avec gambas, chorizo et volaille",25.0,
Pot au feu à l'ancienne,Mijoté 24 heures,25.0,
Poulet rôti façon grand-mère,"Entier, avec pain à l’ail et pomme de terre grenailles",25.0,
Poularde à la crème et vin jaune,"Préparée comme dans le jura, accompagné de purée de pommes de terre",25.0,
Choucroute Alsacienne,"Jarret, saucisse de Moretto, saucisse de Montbéliard, poitrine de cochon, lard du Cantal et chou",25.0,
Hachis Parmentier de canard,"Gratiné au four, avec escalope de foie gras",28.0,
Le train de côtes [minimum 20 pers],"Veau, Porc, Agneau, frite, salade verte et sauce béarnaise",40.0,BARBECUE
Le poisson entier,"Bar sauvage, légumes de saison et purée de pommes de terre",40.0,BARBECUE
Magret de canard du Sud-Ouest,"Et plus particulièrement des Landes, frite et salade verte",30.0,BARBECUE
Marmite de moules marinières à la crème d'Isigny,Frites et salade verte,25.0,
Trilogie de légumes farcies,"Farce maison, herbes fraiches, coulis de tomate confites et riz basmati",25.0,
Moussaka balkanique,Aubergines fraiches et viande de mouton haché,25.0,
Coq au vin du Château Léognan,"Pommes de terre vapeur, lardons, oignons grelots",25.0,Maison Millésime bordelaise
Ribs de porc croustillants,"Marinés sauce secrète façon barbecue, frites et salade verte",25.0,
Bouillabaisse marseillaise,"Et ses poissons de roches, accompagné de rouille, croûtons et fromage rapé",25.0,
Les encornets au chorizo ibérique,"Recette de San Sebastian, piperade et purée de pommes de terre",25.0,
Cochon de lait entier [minimum 15 pers],Comme chez les gaullois avec ses légumes et accompagnement de saison,30.0,
Tataki de poisson entier du moment,"Laquage maison, salade de chou et riz thaï",25.0,
Thon sésame grillé,"Cru à cœur et fondant, salade de chou et riz thaï",25.0,
Lapin à la moutarde de la côte d’or,"Recette française traditionnelle, purée de pommes de terre",25.0,
Raclette traditionnelle,Avec charcuterie du grand Sud-Ouest et pommes de terre vapeur,25.0,
Gigot d’agneau de 7 heures [minimum 10 pers],"Semoule, légumes de saison et jus d’agneau",25.0,
Rôti de bœuf Wellington [minimum 6 pers],"Aïl en chemise, et pommes dauphines",35.0,
La casserole de pâtes à la vongolle,"Vin blanc, palourdes et coques",25.0,
Côte de veau de l’Aveyron rôti au beurre,"Champignons du moment, sauce foyot et frites",35.0,
Filet de bœuf cuit comme un pot-au-feu,"Garniture de légumes de saison cuits dans le bouillon, graines de moutarde",25.0,
Fidéua catalane,Une paëlla avec des pâtes,25.0,
Tête de veau entière,La fameuse sauce gribiche de Jacques,35.0,
Vol-au-vent [minimum 8 pers],Ris de veau et morilles,45.0,
Piquillos farcies,"Farcies à la Morue façon basquaise ,bouillon d’herbes",25.0,
Quenelles de brochet,"Duxelle de champignons, mousseline à la basque de langoustines",25.0,
Koulibiac de saumon au beurre blanc [minimum 6 pers],Comme un Wellington,35.0,
Civet de sanglier,"Gibier cuit au sang, pommes de terre vapeur",25.0,
Chou farci à l’auvergnate,Lard de cochon du Périgord,25.0,
Risotto à la truffe de saison,Petits légumes croquants,25.0,
Le bœuf bourguignon de Marie,"Cuit dans un bouillon de légumes parfumés, garni de légumes façon pot-au-feu et graines de moutarde",35.0,